,Unnamed: 0,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome,Date,Opponent,Home_Barrels,Home_Barrel %,Home_Max EV,Home_Avg EV,Home_Launch Angle,Home_xBA,Home_xSLG,Home_xWOBA,Home_WOBA,Home_Hard Hit %,,Away_Barrels,Away_Barrel %,Away_Max EV,Away_Avg EV,Away_Launch Angle,Away_xBA,Away_xSLG,Away_xWOBA,Away_WOBA,Away_Hard Hit %
833,2389,37160,Orioles,2,9,9,4/11/2016,on grass,Day Game,Red Sox,0,11,7,2:05 p.m. Local,Fenway Park,Monday,57,22, out to Centerfield,Unknown,16,3.433333333,regular season,0,1,Loss,4/11/2016,Orioles,2,6.9,108.8,83.8,18,0.233,0.383,0.292,0.34,34.5,,0,0,105,78,11.2,0.256,0.304,0.269,0.279,19.4
838,21,21203,Royals,0,13,6,4/14/2016,on grass,Night Game,Astros,0,5,2,7:11 p.m. Local,Minute Maid Park,Thursday,75,2, out to Leftfield,Cloudy,8,2.683333333,regular season,0,1,Loss,4/14/2016,Royals,2,10,109.5,85.4,24.7,0.241,0.394,0.3,0.235,45,,2,7.7,107.4,83,21.2,0.241,0.352,0.305,0.253,38.5
880,22,21226,Giants,1,9,6,4/14/2016,on grass,Day Game,Rockies,3,13,11,1:10 p.m. Local,Coors Field,Thursday,72,12, out to Centerfield,Cloudy,17,3.433333333,regular season,1,0,Win,4/14/2016,Giants,4,14.8,113.6,82.3,13,0.277,0.485,0.354,0.422,40.7,,0,0,103.9,80,9.7,0.199,0.274,0.235,0.192,21.7
891,23,34898,Reds,2,6,1,4/14/2016,on grass,Night Game,Cubs,0,11,8,7:05 p.m. Local,Wrigley Field,Thursday,45,8, out to Centerfield,Sunny,9,3.116666667,regular season,1,0,Win,4/14/2016,Reds,1,3.3,107.5,78.6,19.5,0.287,0.428,0.365,0.375,26.7,,1,3.7,107.2,81,-7.3,0.226,0.328,0.283,0.144,33.3
920,2353,21144,Braves,0,5,2,4/14/2016,on grass,Day Game,Nationals,0,6,6,4:06 p.m. Local,Nationals Park,Thursday,63,1, in from Leftfield,Sunny,8,2.483333333,regular season,1,0,Win,4/14/2016,Braves,2,8.7,110.4,85.5,12.3,0.281,0.499,0.343,0.289,39.1,,1,3.7,109.2,82.3,15,0.267,0.445,0.336,0.34,44.4
935,2354,36238,Yankees,0,3,2,4/14/2016,on turf,Night Game,Blue Jays,0,8,4,7:07 p.m. Local,Rogers Centre,Thursday,68,0, in unknown direction,In Dome,6,2.366666667,regular season,1,0,Win,4/14/2016,Yankees,3,13.6,111.5,85.1,11.1,0.238,0.54,0.354,0.366,40.9,,2,6.5,106.5,81.2,12.7,0.253,0.394,0.341,0.435,32.3
973,2355,22820,Orioles,0,9,3,4/14/2016,on grass,Night Game,Rangers,0,10,6,7:07 p.m. Local,Globe Life Park in Arlington,Thursday,71,4, in from Leftfield,Cloudy,9,2.783333333,regular season,1,0,Win,4/14/2016,Orioles,1,3.6,104.1,78.5,21.9,0.256,0.339,0.284,0.332,25,,0,0,106.4,86.3,5.6,0.151,0.208,0.173,0.054,40
998,2356,10715,Indians,0,13,6,4/14/2016,on turf,Day Game,Rays,2,5,0,1:10 p.m. Local,Tropicana Field,Thursday,72,0, in unknown direction,In Dome,6,3.333333333,regular season,0,1,Loss,4/14/2016,Indians,0,0,105.8,82,17.1,0.134,0.239,0.206,0.19,47.1,,3,11.1,110.8,86.1,12.7,0.314,0.556,0.398,0.321,48.1
1010,2357,40168,Brewers,0,1,0,4/14/2016,on grass,Day Game,Cardinals,0,11,7,12:46 p.m. Local,Busch Stadium III,Thursday,67,7, in from Centerfield,Sunny,7,2.483333333,regular season,1,0,Win,4/14/2016,Brewers,2,8,111.8,86.2,14.9,0.268,0.456,0.347,0.437,36,,0,0,100.5,80.4,26.7,0.137,0.164,0.132,0.088,28.6
1044,2358,18751,Tigers,2,9,7,4/14/2016,on grass,Day Game,Pirates,1,14,4,12:36 p.m. Local,PNC Park,Thursday,61,8, in from Leftfield,Sunny,11,3.333333333,regular season,0,1,Loss,4/14/2016,Tigers,0,0,105.3,81.1,11.5,0.279,0.362,0.31,0.359,19.4,,2,7.4,108.4,82.2,11.4,0.295,0.516,0.355,0.291,44.4
1067,2359,18079,Padres,1,3,0,4/14/2016,on grass,Day Game,Phillies,0,3,3,1:07 p.m. Local,Citizens Bank Park,Thursday,60,7, in from Centerfield,Sunny,3,2.45,regular season,1,0,Win,4/14/2016,Padres,2,11.8,106.7,85.3,14.1,0.136,0.279,0.293,0.245,35.3,,0,0,103.6,82.8,12.7,0.191,0.261,0.21,0.203,30.4
1099,2360,19736,White Sox,1,9,3,4/14/2016,on grass,Day Game,Twins,1,4,1,12:11 p.m. Local,Target Field,Thursday,68,19, from Right to Left,Cloudy,4,3,regular season,0,1,Loss,4/14/2016,White Sox,2,8,108.1,79.6,18.9,0.211,0.374,0.289,0.196,36,,0,0,101.8,78.7,10.1,0.245,0.321,0.302,0.218,37.5
1141,24,19400,Braves,0,5,0,4/13/2016,on grass,Night Game,Nationals,0,4,3,7:05 p.m. Local,Nationals Park,Wednesday,56,0, in unknown direction,Sunny,3,2.2,regular season,1,0,Win,4/13/2016,Braves,2,8.7,109.3,80.8,17.8,0.179,0.419,0.278,0.239,21.7,,1,3.7,109.7,82.9,12.5,0.257,0.354,0.3,0.294,44.4
1159,25,27938,Yankees,1,8,2,4/13/2016,on turf,Night Game,Blue Jays,0,10,7,7:08 p.m. Local,Rogers Centre,Wednesday,68,0, in unknown direction,In Dome,9,2.716666667,regular season,1,0,Win,4/13/2016,Yankees,0,0,106.2,83.5,9.4,0.258,0.343,0.308,0.372,40,,1,5.6,105.1,84.4,20.2,0.185,0.335,0.231,0.204,27.8
1207,2362,10117,Indians,0,5,4,4/13/2016,on turf,Night Game,Rays,2,5,1,7:09 p.m. Local,Tropicana Field,Wednesday,72,0, in unknown direction,In Dome,5,2.533333333,regular season,0,1,Loss,4/13/2016,Indians,0,0,105.8,86.3,20.9,0.208,0.28,0.228,0.17,40.9,,3,11.5,109.4,85.3,7.8,0.284,0.574,0.387,0.313,53.8
1222,2363,40994,Brewers,1,9,6,4/13/2016,on grass,Night Game,Cardinals,2,6,4,7:15 p.m. Local,Busch Stadium III,Wednesday,62,7, from Right to Left,Sunny,10,2.816666667,regular season,0,1,Loss,4/13/2016,Brewers,2,7.4,107.6,79.3,12.6,0.241,0.406,0.302,0.269,18.5,,0,0,102.5,82.9,13.4,0.154,0.219,0.191,0.21,28.6
1258,2364,15075,Rangers,3,6,2,4/13/2016,on grass,Day Game,Mariners,1,8,4,12:40 p.m. Local,Safeco Field,Wednesday,55,1, in from Leftfield,Unknown,6,3.333333333,regular season,1,0,Win,4/13/2016,Rangers,4,13.8,110.4,80.7,20.7,0.273,0.521,0.371,0.296,34.5,,2,7.4,111,83.9,21.1,0.277,0.487,0.363,0.372,44.4
1295,2365,21175,Tigers,0,10,7,4/13/2016,on grass,Night Game,Pirates,0,4,3,7:07 p.m. Local,PNC Park,Wednesday,54,1, in from Leftfield,Cloudy,10,3.2,regular season,0,1,Loss,4/13/2016,Tigers,2,10.5,107.1,82,17,0.19,0.319,0.289,0.216,31.6,,0,0,105,80,21.2,0.168,0.208,0.195,0.2,14.3
1324,2366,17638,Padres,3,6,1,4/13/2016,on grass,Night Game,Phillies,1,5,2,7:05 p.m. Local,Citizens Bank Park,Wednesday,55,3, out to Centerfield,Sunny,3,2.6,regular season,1,0,Win,4/13/2016,Padres,1,4.8,110.5,84.9,9.9,0.256,0.374,0.317,0.266,28.6,,1,2.9,107,81.7,21.9,0.284,0.424,0.344,0.322,23.5
1338,2367,11216,Angels,1,11,5,4/13/2016,on grass,Day Game,Athletics,0,3,1,12:37 p.m. Local,Oakland-Alameda County Coliseum,Wednesday,63,11, out to Rightfield,Cloudy,6,3.05,regular season,0,1,Loss,4/13/2016,Angels,1,4,107.1,82.5,27.2,0.191,0.361,0.273,0.172,24,,0,0,114.8,80.1,17.4,0.217,0.254,0.259,0.26,20.8
1380,2368,22113,Marlins,0,7,1,4/13/2016,on grass,Day Game,Mets,0,7,2,1:12 p.m. Local,Citi Field,Wednesday,52,10, in from Rightfield,Sunny,3,2.883333333,regular season,1,0,Win,4/13/2016,Marlins,0,0,104,80.1,26.4,0.204,0.237,0.245,0.275,15.8,,1,3.7,112.2,84.1,15.3,0.29,0.389,0.296,0.279,37
1423,2369,21008,White Sox,0,9,3,4/13/2016,on grass,Night Game,Twins,0,4,0,7:11 p.m. Local,Target Field,Wednesday,68,6, from Right to Left,Sunny,3,2.85,regular season,0,1,Loss,4/13/2016,White Sox,0,0,109.5,79.7,21.2,0.142,0.21,0.219,0.201,13.6,,1,4.2,105.2,85.1,11.7,0.255,0.412,0.335,0.251,41.7
1457,2371,24109,Royals,1,8,4,4/13/2016,on grass,Night Game,Astros,1,6,2,7:11 p.m. Local,Minute Maid Park,Wednesday,73,0, in unknown direction,In Dome,6,3.05,regular season,0,1,Loss,4/13/2016,Royals,2,9.1,108.9,88,14.5,0.259,0.478,0.354,0.286,40.9,,0,0,98.6,80.4,19.3,0.193,0.237,0.198,0.269,16
